day,x,y,z
270,-8.64024450555866E12,-1.3328977795496016E12,2.3463875690596234E7
271,-8.671689258985724E12,-1.337726702353765E12,2.3520084808675103E7
272,-8.703133999677145E12,-1.3425556231930217E12,2.3576293903432917E7
273,-8.734578727724772E12,-1.3473845420815764E12,2.3632502975047424E7
274,-8.766023443219464E12,-1.3522134590334795E12,2.3688712023694355E7
275,-8.797468146251104E12,-1.3570423740626304E12,2.3744921049547434E7
276,-8.828912836908611E12,-1.3618712871827793E12,2.3801130052778427E7
277,-8.86035751527996E12,-1.3667001984075295E12,2.3857339033557154E7
278,-8.89180218145219E12,-1.3715291077503396E12,2.3913547992051538E7
279,-8.923246835511414E12,-1.3763580152245251E12,2.3969756928427614E7
280,-8.954691477542842E12,-1.3811869208432607E12,2.4025965842849564E7
281,-8.986136107630783E12,-1.3860158246195823E12,2.4082174735479753E7
282,-9.017580725858666E12,-1.3908447265663887E12,2.413838360647874E7
283,-9.049025332309049E12,-1.395673626696444E12,2.419459245600532E7
284,-9.080469927063627E12,-1.4005025250223792E12,2.4250801284216534E7
285,-9.111914510203252E12,-1.4053314215566936E12,2.4307010091267716E7
286,-9.143359081807941E12,-1.4101603163117576E12,2.4363218877312493E7
287,-9.174803641956885E12,-1.4149892092998132E12,2.4419427642502822E7
288,-9.206248190728459E12,-1.4198181005329775E12,2.4475636386989016E7
289,-9.237692728200242E12,-1.4246469900232424E12,2.4531845110919766E7
290,-9.269137254449021E12,-1.4294758777824783E12,2.4588053814442165E7
291,-9.3005817695508E12,-1.4343047638224336E12,2.4644262497701727E7
292,-9.332026273580818E12,-1.439133648154738E12,2.4700471160842407E7
293,-9.363470766613549E12,-1.4439625307909038E12,2.4756679804006636E7
294,-9.394915248722723E12,-1.4487914117423271E12,2.4812888427335322E7
295,-9.42635971998133E12,-1.4536202910202896E12,2.4869097030967895E7
296,-9.457804180461627E12,-1.45844916863596E12,2.4925305615042314E7
297,-9.489248630235158E12,-1.4632780446003953E12,2.498151417969508E7
298,-9.520693069372752E12,-1.468106918924543E12,2.5037722725061283E7
299,-9.552137497944541E12,-1.4729357916192417E12,2.5093931251274586E7
300,-9.58358191601996E12,-1.4777646626952231E12,2.5150139758467276E7
301,-9.61502632366777E12,-1.4825935321631133E12,2.5206348246770263E7
302,-9.64647072095605E12,-1.487422400033434E12,2.5262556716313116E7
303,-9.67791510795222E12,-1.492251266316604E12,2.531876516722406E7
304,-9.709359484723043E12,-1.4970801310229404E12,2.5374973599630013E7
305,-9.740803851334633E12,-1.5019089941626602E12,2.5431182013656594E7
306,-9.772248207852465E12,-1.506737855745881E12,2.5487390409428142E7
307,-9.803692554341387E12,-1.5115667157826235E12,2.5543598787067737E7
308,-9.835136890865617E12,-1.516395574282811E12,2.5599807146697216E7
309,-9.866581217488766E12,-1.5212244312562725E12,2.565601548843718E7
310,-9.89802553427383E12,-1.526053286712742E12,2.571222381240702E7
311,-9.92946984128321E12,-1.5308821406618616E12,2.576843211872494E7
312,-9.960914138578717E12,-1.5357109931131812E12,2.5824640407507952E7
313,-9.992358426221574E12,-1.5405398440761604E12,2.588084867887191E7
314,-1.0023802704272426E13,-1.5453686935601697E12,2.593705693293152E7
315,-1.0055246972791354E13,-1.550197541574491E12,2.5993265169800345E7
316,-1.008669123183787E13,-1.5550263881283193E12,2.604947338959084E7
317,-1.0118135481470932E13,-1.5598552332307634E12,2.6105681592414353E7
318,-1.0149579721748953E13,-1.5646840768908474E12,2.616188977838113E7
319,-1.0181023952729803E13,-1.5695129191175115E12,2.6218097947600354E7
320,-1.021246817447081E13,-1.5743417599196125E12,2.6274306100180138E7
321,-1.0243912387028783E13,-1.579170599305926E12,2.633051423622755E7
322,-1.0275356590460002E13,-1.5839994372851467E12,2.638672235584862E7
323,-1.0306800784820232E13,-1.588828273865889E12,2.644293045914836E7
324,-1.033824497016473E13,-1.5936571090566887E12,2.649913854623076E7
325,-1.0369689146548252E13,-1.5984859428660037E12,2.655534661719883E7
326,-1.0401133314025049E13,-1.6033147753022148E12,2.6611554672154587E7
327,-1.0432577472648889E13,-1.6081436063736272E12,2.6667762711199082E7
328,-1.0464021622473049E13,-1.6129724360884705E12,2.6723970734432403E7
329,-1.0495465763550332E13,-1.6178012644549001E12,2.6780178741953693E7
330,-1.0526909895933062E13,-1.6226300914809983E12,2.683638673386116E7
331,-1.0558354019673098E13,-1.627458917174775E12,2.6892594710252084E7
332,-1.0589798134821832E13,-1.632287741544168E12,2.6948802671222843E7
333,-1.0621242241430205E13,-1.637116564597045E12,2.7005010616868906E7
334,-1.0652686339548703E13,-1.6419453863412034E12,2.7061218547284856E7
335,-1.0684130429227367E13,-1.6467742067843716E12,2.7117426462564398E7
336,-1.0715574510515795E13,-1.65160302593421E12,2.7173634362800363E7
337,-1.0747018583463148E13,-1.6564318437983113E12,2.7229842248084735E7
338,-1.0778462648118162E13,-1.6612606603842017E12,2.7286050118508648E7
339,-1.080990670452914E13,-1.666089475699341E12,2.7342257974162396E7
340,-1.0841350752743969E13,-1.6709182897511245E12,2.7398465815135457E7
341,-1.0872794792810117E13,-1.6757471025468828E12,2.745467364151648E7
342,-1.0904238824774643E13,-1.680575914093883E12,2.7510881453393318E7
343,-1.09356828486842E13,-1.6854047243993293E12,2.7567089250853024E7
344,-1.0967126864585035E13,-1.6902335334703635E12,2.7623297033981867E7
345,-1.0998570872523002E13,-1.6950623413140664E12,2.767950480286533E7
346,-1.103001487254356E13,-1.6998911479374578E12,2.7735712557588138E7
347,-1.1061458864691783E13,-1.7047199533474976E12,2.7791920298234254E7
348,-1.1092902849012357E13,-1.7095487575510857E12,2.784812802488689E7
349,-1.1124346825549592E13,-1.7143775605550642E12,2.7904335737628523E7
350,-1.115579079434742E13,-1.7192063623662166E12,2.7960543436540887E7
351,-1.1187234755449404E13,-1.7240351629912693E12,2.8016751121705003E7
352,-1.121867870889874E13,-1.7288639624368916E12,2.807295879320117E7
